NULL,MLB1099,Outros,MLB,0,MLB1099
NULL,MLB40296,Outros,MLB,0,MLB40296
NULL,MLB30183,"Balanças Comerciais",MLB,0,MLB30183
NULL,MLB22507,"Outras Escalas",MLB,0,MLB22507
NULL,MLB63968,Outros,MLB,0,MLB63968
NULL,MLB60677,Philips,MLB,0,MLB60677
NULL,MLB70104,"Harley Davidson",MLB,0,MLB70104
NULL,MLB1092,Aquários,MLB,0,MLB1092
NULL,MLB86701,Outros,MLB,0,MLB86701
NULL,MLB30184,"Balanças Antigas",MLB,0,MLB30184
NULL,MLB40851,Schuco,MLB,0,MLB40851
NULL,MLB108921,"Materiais para Pintura",MLB,0,MLB108921
NULL,MLB103648,Recarregáveis,MLB,0,MLB103648
NULL,MLB70090,Guess,MLB,0,MLB70090
NULL,MLB107369,Summer,MLB,0,MLB107369
NULL,MLB30162,Amperímetros,MLB,0,MLB30162
NULL,MLB1371,Outros,MLB,0,MLB1371
NULL,MLB103608,"Não Recarregáveis",MLB,0,MLB103608
NULL,MLB28151,"Dolce & Gabbana",MLB,0,MLB28151
NULL,MLB107368,Sony,MLB,0,MLB107368
NULL,MLB5454,"Indústria Têxtil e Confecção",MLB,0,MLB5454
NULL,MLB5464,Livros,MLB,0,MLB5464
NULL,MLB28176,Dior,MLB,0,MLB28176
NULL,MLB107351,Powerpack,MLB,0,MLB107351
NULL,MLB107353,"Outras Marcas",MLB,0,MLB107353
NULL,MLB28159,Cavalli,MLB,0,MLB28159
NULL,MLB5114,Arnette,MLB,0,MLB5114
NULL,MLB107363,Motorola,MLB,0,MLB107363
NULL,MLB28100,Armani,MLB,0,MLB28100
NULL,MLB38284,"1010W a 1390W",MLB,0,MLB38284
NULL,MLB107350,Infant,MLB,0,MLB107350
NULL,MLB8379,Armações,MLB,0,MLB8379
NULL,MLB11559,Stetsom,MLB,0,MLB11559
NULL,MLB107349,"Fisher Price",MLB,0,MLB107349
NULL,MLB15304,"Até 140W",MLB,0,MLB15304
NULL,MLB107352,Dican,MLB,0,MLB107352
NULL,MLB64127,Lojas,MLB,0,MLB64127
NULL,MLB40270,Receivers,MLB,0,MLB40270
NULL,MLB60701,"Outras Marcas",MLB,0,MLB60701
NULL,MLB40264,"Pintura e Artes Plásticas",MLB,0,MLB40264
NULL,MLB86707,"Com Video",MLB,0,MLB86707
NULL,MLB15310,"Acima de 2500W",MLB,0,MLB15310
NULL,MLB63966,"Confecção e Alfaiate",MLB,0,MLB63966
NULL,MLB9162,"Peças e Acessórios",MLB,0,MLB9162
NULL,MLB40333,Outros,MLB,0,MLB40333
NULL,MLB15305,"800W a 1000W",MLB,0,MLB15305
NULL,MLB40359,Válvulas,MLB,0,MLB40359
NULL,MLB107362,Summer,MLB,0,MLB107362
NULL,MLB49258,"Suporte Técnico",MLB,0,MLB49258
NULL,MLB103647,Recarregáveis,MLB,0,MLB103647
NULL,MLB107366,Sony,MLB,0,MLB107366
NULL,MLB22520,"Outras Marcas",MLB,0,MLB22520
NULL,MLB85877,"Até  50 Litros",MLB,0,MLB85877
NULL,MLB40246,Museu,MLB,0,MLB40246
NULL,MLB51430,Norscot,MLB,0,MLB51430
NULL,MLB103607,"Não Recarregáveis",MLB,0,MLB103607
NULL,MLB30181,Outros,MLB,0,MLB30181
NULL,MLB85886,"Acima de 150 Litros",MLB,0,MLB85886
NULL,MLB107361,Powerpack,MLB,0,MLB107361
NULL,MLB40245,"História da Arte",MLB,0,MLB40245
NULL,MLB22517,Matchbox,MLB,0,MLB22517
NULL,MLB60676,Leadership,MLB,0,MLB60676
NULL,MLB85887,"60 a 140 Litros",MLB,0,MLB85887
NULL,MLB30206,"Máquinas de Costura",MLB,0,MLB30206
NULL,MLB40263,Fotografia,MLB,0,MLB40263
NULL,MLB107348,"Outras Marcas",MLB,0,MLB107348
NULL,MLB103646,Recarregáveis,MLB,0,MLB103646
NULL,MLB22515,Maisto,MLB,0,MLB22515
NULL,MLB1094,Alimentos,MLB,0,MLB1094
NULL,MLB40265,"Desenho e Arte Decorativa",MLB,0,MLB40265
NULL,MLB103606,"Não Recarregáveis",MLB,0,MLB103606
NULL,MLB51412,Harpy,MLB,0,MLB51412
NULL,MLB1093,"Acessórios para Aquários",MLB,0,MLB1093
NULL,MLB1370,Gravuras,MLB,0,MLB1370
NULL,MLB22508,Corgi,MLB,0,MLB22508
NULL,MLB85876,"Válvula Reguladora De Co2",MLB,0,MLB85876
NULL,MLB47623,Xilogravuras,MLB,0,MLB47623
NULL,MLB103404,Energizer,MLB,0,MLB103404
NULL,MLB22437,"Escala 1/87",MLB,0,MLB22437
NULL,MLB85874,Termômetros,MLB,0,MLB85874
NULL,MLB47608,Serigrafias,MLB,0,MLB47608
NULL,MLB103645,Recarregáveis,MLB,0,MLB103645
NULL,MLB103605,"Não Recarregáveis",MLB,0,MLB103605
NULL,MLB32282,Termostatos,MLB,0,MLB32282
